timu_ground timu_onboard ax_meas ay_meas az_meas wx_meas wy_meas wz_meas
0.352823 1.710082 0.823072 -0.071780 8.326426 0.023969 -0.012784 0.006392
0.358928 1.715333 0.782397 -0.088528 8.295322 0.021839 -0.011718 0.007457
0.363199 1.720248 0.827857 -0.055031 8.326426 0.021306 -0.009055 0.005859
0.368608 1.725597 0.856569 -0.062209 8.271395 0.023437 -0.014914 0.006924
0.373406 1.730541 0.806323 -0.172271 8.300107 0.021839 -0.009588 0.008522
0.380541 1.735712 0.758470 -0.081350 8.371886 0.019708 -0.013316 0.006392
0.383295 1.740549 0.815894 -0.023927 8.257039 0.019708 -0.010653 0.006392
0.390377 1.747166 0.870925 -0.117240 8.259432 0.022371 -0.010653 0.005859
0.393680 1.750768 0.686691 -0.050246 8.340782 0.019175 -0.012251 0.004794
0.400094 1.755729 0.780004 -0.129203 8.225935 0.021306 -0.014382 0.009055
0.403651 1.760690 0.902029 -0.074172 8.264217 0.021839 -0.016512 0.005326
0.410125 1.765638 0.815894 -0.043068 8.297714 0.021306 -0.011718 0.009588
0.413444 1.770657 0.768041 -0.148344 8.309677 0.021839 -0.011718 0.002663
