t x_meas y_meas z_meas q0_meas q1_meas q2_meas q3_meas ax_meas ay_meas az_meas wx_meas wy_meas wz_meas x y z q0 q1 q2 q3 vx vy vz ax ay az wx wy wz Fd u1 u2 u3 u4 M1 M2 M3 qdes0 qdes1 qdes2 qdes3
7.377243 nan nan nan nan nan nan nan -0.607733 -0.014356 9.434223 0.192286 0.339297 0.771275 0.870050 0.009449 0.454812 0.939172 -0.054635 -0.054980 -0.334587 -0.064970 0.035228 0.172600 0.000000 0.000000 0.000000 0.153261 0.302364 0.611485 9.325106 2.461227 2.219108 2.449299 2.195472 0.007091 -0.003578 0.024797 0.999970 0.003775 0.006833 0.000026
7.387919 nan nan nan nan nan nan nan 0.483316 -0.064602 9.393548 0.056461 0.284434 0.728130 0.869357 0.009825 0.456655 0.940391 -0.053506 -0.053559 -0.331562 -0.073746 0.038154 0.181977 0.000000 0.000000 0.000000 0.130129 0.291326 0.621444 9.310082 2.432691 2.244744 2.427638 2.205009 0.011921 -0.001516 0.020529 0.999961 0.004094 0.007780 0.000032
7.398614 0.865100 0.008700 0.464700 0.948880 -0.044040 -0.050560 -0.308420 3.433454 -0.325401 4.167998 -0.124107 0.377648 0.782461 0.868723 0.009105 0.457376 0.941704 -0.051251 -0.054318 -0.328051 -0.070479 0.043129 0.170076 0.000000 0.000000 0.000000 0.080938 0.323224 0.641165 9.335404 2.416743 2.304100 2.385836 2.228723 0.022613 -0.009272 0.013488 0.999962 0.004606 0.007418 0.000034
7.409284 nan nan nan nan nan nan nan 2.103140 1.540867 8.522623 -0.115052 0.191753 0.800571 0.867971 0.009566 0.459191 0.942935 -0.050464 -0.052660 -0.324892 -0.068207 0.039994 0.157277 0.000000 0.000000 0.000000 0.007670 0.285216 0.668929 9.367069 2.368493 2.385693 2.361726 2.251157 0.040361 -0.002030 0.004668 0.999965 0.004266 0.007163 0.000031
7.419974 nan nan nan nan nan nan nan -1.349455 -0.696261 9.951036 0.019175 0.153403 0.826670 0.867242 0.009993 0.460872 0.944171 -0.050118 -0.051055 -0.321593 -0.061320 0.040282 0.146812 0.000000 0.000000 0.000000 -0.022361 0.235617 0.691334 9.392712 2.320366 2.443164 2.346954 2.282228 0.048281 0.007976 -0.002904 0.999970 0.004289 0.006427 0.000028
7.430637 0.862900 0.009300 0.467000 0.952320 -0.042880 -0.047210 -0.298360 1.713138 -0.657979 10.527665 -0.130499 0.137956 0.693508 0.866815 0.009106 0.460982 0.945350 -0.047946 -0.052599 -0.318194 -0.059760 0.037778 0.140235 0.000000 0.000000 0.000000 -0.083457 0.193266 0.671226 9.407265 2.320139 2.453010 2.384773 2.249343 0.061100 0.019390 0.000128 0.999972 0.004015 0.006257 0.000025
7.441344 nan nan nan nan nan nan nan 3.062593 1.002521 10.192694 -0.054330 0.328644 0.787254 0.866175 0.009511 0.462483 0.946520 -0.048228 -0.051306 -0.314867 -0.058852 0.037400 0.140719 0.000000 0.000000 0.000000 -0.109495 0.198620 0.679265 9.408705 2.305373 2.484997 2.360771 2.257564 0.068230 0.016619 -0.003821 0.999973 0.003978 0.006166 0.000025
7.452277 nan nan nan nan nan nan nan 0.940312 0.638838 5.357146 -0.204004 -0.069777 0.770210 0.865531 0.009920 0.464022 0.947709 -0.048643 -0.049910 -0.311433 -0.054082 0.035186 0.139594 0.000000 0.000000 0.000000 -0.126471 0.116386 0.675362 9.414168 2.270614 2.499887 2.387962 2.255705 0.073255 0.035204 -0.004851 0.999977 0.003747 0.005667 0.000021
7.462869 0.859900 0.009700 0.469100 0.955020 -0.046600 -0.042910 -0.289690 2.459645 -2.306516 7.211451 -0.185362 -0.085756 0.747306 0.864708 0.009345 0.464204 0.948867 -0.045699 -0.049872 -0.308344 -0.049725 0.034148 0.129754 0.000000 0.000000 0.000000 -0.140821 0.064999 0.664339 9.440015 2.262040 2.503154 2.418728 2.256093 0.074118 0.047007 -0.003924 0.999980 0.003628 0.005203 0.000019
7.473567 nan nan nan nan nan nan nan 2.186883 -3.663149 8.881521 -0.142750 -0.103334 0.675398 0.864176 0.009711 0.465592 0.949939 -0.046484 -0.049147 -0.305024 -0.047266 0.026966 0.120487 0.000000 0.000000 0.000000 -0.171401 0.015729 0.634052 9.460330 2.277043 2.493371 2.470572 2.219344 0.082208 0.058059 0.001745 0.999984 0.002871 0.004938 0.000014
7.484260 nan nan nan nan nan nan nan 3.854561 -1.244179 6.029481 -0.143282 0.033557 0.752632 0.863670 0.009999 0.466881 0.950929 -0.047495 -0.048630 -0.301850 -0.048997 0.013658 0.109715 0.000000 0.000000 0.000000 -0.176752 -0.003598 0.644159 9.483693 2.254779 2.522758 2.461399 2.244758 0.083400 0.061986 -0.002567 0.999986 0.001478 0.005111 0.000008
7.494945 0.858300 0.010100 0.469800 0.957870 -0.048230 -0.044970 -0.279520 4.445546 2.112711 1.426020 -0.295620 -0.254073 0.686051 0.862691 0.009528 0.466475 0.951967 -0.045637 -0.047969 -0.298957 -0.049462 0.005162 0.101538 0.000000 0.000000 0.000000 -0.220718 -0.112884 0.621546 9.506482 2.237148 2.522669 2.530323 2.216342 0.091898 0.087952 0.001423 0.999987 0.000587 0.005156 0.000003
7.505657 nan nan nan nan nan nan nan 1.253749 -1.813630 6.314206 -0.196015 -0.213592 0.827736 0.862161 0.009584 0.467563 0.952873 -0.047102 -0.048039 -0.295815 -0.040083 -0.003034 0.077684 0.000000 0.000000 0.000000 -0.223667 -0.139065 0.631606 9.554047 2.218337 2.559363 2.529815 2.246530 0.093850 0.093443 -0.002887 0.999991 -0.000265 0.004161 -0.000001
