DfilX DfilY DfilZ DfilQ1 DfilQ2 DfilQ3 DfilQ4 DfildX DfildY DfildZ DfildQ1 DfildQ2 DfildQ3 DfildQ4 w1 w2 w3 fF fL fB fR Eul0 Eul1 Eul2 Fpwm Lpwm Bpwm Rpwm My
-0.264787 0.066960 0.899199 0.995152 -0.010133 0.097824 0.000901 -0.214348 0.046136 0.123535 0.060178 0.091143 -0.544840 -0.905436 0.358787 -1.077984 -1.795410 0.000000 0.000000 22.200231 0.000000 -0.000193 0.195970 -0.020383 1000000.000000 1000000.000000 2243212.000000 1000000.000000 8.820139
-0.266591 0.066174 0.899603 0.995678 -0.009802 0.092351 -0.000041 -0.404316 -0.178049 0.089421 0.110377 0.070631 -1.243802 -0.188357 0.177707 -2.493542 -0.386416 0.000000 0.000000 25.000000 0.000000 -0.001925 0.184955 -0.019868 1000000.000000 1000000.000000 2400000.000000 1000000.000000 23.085864
-0.268252 0.065622 0.900282 0.996283 -0.009006 0.085654 0.001659 -0.374870 -0.124704 0.153435 0.128167 0.180449 -1.519245 0.393172 0.289470 -3.056832 0.786544 0.000000 0.000000 25.000000 0.000000 0.001789 0.171541 -0.017924 1000000.000000 1000000.000000 2400000.000000 1000000.000000 28.852913
-0.269913 0.065057 0.900831 0.996958 -0.007566 0.077465 0.004142 -0.371700 -0.130466 0.121533 0.142120 0.316578 -1.824868 0.570487 0.529879 -3.671907 1.157757 0.000000 0.000000 25.000000 0.000000 0.007172 0.155143 -0.014621 1000000.000000 1000000.000000 2400000.000000 1000000.000000 35.167641
-0.271958 0.064449 0.901547 0.997660 -0.005896 0.067912 0.005226 -0.456108 -0.139861 0.158431 0.158696 0.367216 -2.124166 0.262779 0.676693 -4.266884 0.547496 0.000000 0.000000 25.000000 0.000000 0.009716 0.135986 -0.011159 1000000.000000 1000000.000000 2400000.000000 1000000.000000 41.308981
-0.274556 0.063430 0.902270 0.998398 -0.002761 0.056093 0.006857 -0.582076 -0.232590 0.160346 0.167013 0.694699 -2.639172 0.386352 1.308556 -5.300287 0.832538 0.000000 0.000000 25.000000 0.000000 0.013468 0.112279 -0.004773 1000000.000000 1000000.000000 2400000.000000 1000000.000000 51.880084
-0.276684 0.063163 0.903267 0.998932 0.001322 0.045682 0.006873 -0.470502 -0.060094 0.221743 0.106761 0.902100 -2.287431 0.007935 1.769823 -4.592107 0.102852 0.000000 0.000000 25.000000 0.000000 0.013910 0.091375 0.003282 1000000.000000 1000000.000000 2400000.000000 1000000.000000 45.007326
-0.278987 0.062555 0.903946 0.999361 0.005037 0.034905 0.005872 -0.507533 -0.137013 0.148178 0.096428 0.814170 -2.357965 -0.220323 1.614018 -4.731428 -0.360903 0.000000 0.000000 25.000000 0.000000 0.012117 0.069763 0.010504 1000000.000000 1000000.000000 2400000.000000 1000000.000000 46.616647
-0.281323 0.061638 0.904595 0.999618 0.007712 0.026215 0.004196 -0.518345 -0.205101 0.143574 0.069257 0.586538 -1.915890 -0.373463 1.175062 -3.844629 -0.686918 0.000000 0.000000 25.000000 0.000000 0.008805 0.052370 0.015660 1000000.000000 1000000.000000 2400000.000000 1000000.000000 37.922589
-0.283009 0.060697 0.904959 0.999774 0.010081 0.017787 0.005744 -0.375276 -0.210659 0.080819 0.048429 0.519905 -1.859886 0.337048 1.005242 -3.719833 0.729383 0.000000 0.000000 25.000000 0.000000 0.011852 0.035458 0.020376 1000000.000000 1000000.000000 2400000.000000 1000000.000000 36.843749
-0.283783 0.060009 0.905093 0.999839 0.010942 0.012184 0.007362 -0.170497 -0.152844 0.029636 0.018868 0.182253 -1.223879 0.350238 0.337479 -2.442841 0.731311 0.000000 0.000000 25.000000 0.000000 0.014993 0.024206 0.022069 1000000.000000 1000000.000000 2400000.000000 1000000.000000 24.186357
-0.285313 0.058967 0.905442 0.999857 0.014651 0.005203 0.006723 -0.339508 -0.231631 0.077760 -0.010207 0.815572 -1.541362 -0.145413 1.611998 -3.097402 -0.236996 0.000000 0.000000 25.000000 0.000000 0.013597 0.010208 0.029373 1000000.000000 1000000.000000 2400000.000000 1000000.000000 30.871949
-0.286582 0.058104 0.905780 0.999819 0.017724 -0.000912 0.006823 -0.282727 -0.192526 0.075487 -0.014990 0.676513 -1.352437 0.016607 1.334886 -2.713057 0.080119 0.000000 0.000000 25.000000 0.000000 0.013613 -0.002066 0.035436 1000000.000000 1000000.000000 2400000.000000 1000000.000000 27.151227
-0.287735 0.057370 0.906069 0.999711 0.021446 -0.007390 0.008021 -0.254760 -0.162415 0.063764 -0.020790 0.823277 -1.431567 0.263175 1.627895 -2.864530 0.575767 0.000000 0.000000 25.000000 0.000000 0.015722 -0.015121 0.042780 1000000.000000 1000000.000000 2400000.000000 1000000.000000 28.796511
-0.289003 0.056737 0.906233 0.999606 0.024030 -0.012130 0.008012 -0.264334 -0.131809 0.058943 -0.020193 0.694651 -1.126336 0.017537 1.372100 -2.262563 0.072664 0.000000 0.000000 25.000000 0.000000 0.015441 -0.024637 0.047879 1000000.000000 1000000.000000 2400000.000000 1000000.000000 22.872003
-0.289594 0.057770 0.906220 0.999648 0.020871 -0.013291 0.009604 -0.274629 -0.071153 0.088650 -0.019812 0.733093 -0.996908 -0.122664 1.444088 -2.012841 -0.222734 0.000000 0.000000 25.000000 0.000000 0.018653 -0.026976 0.041500 1000000.000000 1000000.000000 2400000.000000 1000000.000000 20.398172
