t ax ay az w1 w2 w3
2.345287 -0.368468 -1.002521 9.714164 67.690054 13.580737 17.822810
2.353507 -0.416321 -0.909207 9.515574 69.307535 5.096591 16.632588
2.361143 -0.421107 -1.036018 9.180602 69.582202 -0.335704 15.717032
2.369333 -0.057424 -0.906815 8.718821 70.986053 -4.669332 14.435255
2.376979 0.081350 -0.890066 8.680538 71.810053 -5.310221 13.733329
2.384616 0.349327 -0.485708 8.606366 70.192572 -5.066073 13.580737
2.392810 0.236872 0.172271 8.505875 65.187536 -4.669332 12.634663
2.400438 0.287118 0.370861 8.398206 55.879391 -5.493332 11.535997
2.408070 0.196197 0.598163 8.075198 47.242653 -6.958220 10.223701
2.416272 -0.413929 1.038411 7.477035 34.943693 -12.451552 7.415998
2.423890 -0.169878 0.775219 7.338261 26.245918 -16.754662 4.913480
2.431516 -0.009571 1.112583 6.876479 16.327403 -21.393475 3.234962
2.439718 0.112455 0.514420 6.926725 5.767998 -23.194067 1.953185
2.447328 0.375646 0.693869 6.558257 -4.913480 -20.966216 1.312296
2.455499 1.088656 0.425892 6.397949 -12.848292 -13.031404 2.319407
2.463789 1.313565 0.643623 6.251997 -17.029328 -3.814814 5.218665
2.471593 1.359026 0.418714 6.469729 -20.325327 5.645924 8.697775
2.480147 1.253749 0.086135 6.527152 -23.987548 16.144292 11.902219
2.488536 0.564666 0.722581 6.333348 -29.877621 23.804437 10.559404
2.497029 0.590985 0.736937 6.476907 -38.209174 30.152287 6.469924
2.505389 0.440248 0.708225 6.615680 -45.594653 36.103397 2.136296
2.513067 0.000000 0.646016 6.797522 -48.432875 38.697470 1.037629
2.521281 -0.406751 0.555095 6.833412 -50.843837 38.392285 3.051851
2.528929 -0.409143 0.069387 7.072677 -48.829615 38.056581 6.958220
2.537158 -0.162700 -0.789575 7.491391 -38.148137 41.444136 13.367107
2.544807 0.019141 -1.088656 7.931639 -26.856288 46.296579 18.738365
2.552468 -0.059816 -1.351848 8.412561 -13.214515 50.782800 24.384289
2.560696 -0.303867 -1.349455 8.623115 -1.342814 51.240577 28.931547
2.568338 -0.361290 -1.363811 8.596796 9.674368 47.822504 32.837916
2.576497 -0.177056 -1.576757 8.656612 20.935698 44.373913 35.615101
2.585441 0.545524 -1.339885 8.982012 31.708731 41.596728 39.277322
2.593666 1.138902 -1.402094 9.130357 39.643544 41.108432 41.261025
2.601306 1.488229 -2.048109 9.584960 52.735984 45.411542 40.620136
2.609646 0.794360 -1.540867 9.503610 62.044130 43.855098 36.896878
2.617968 0.112455 -0.823072 9.175817 62.379833 33.417768 30.152287
2.626359 -0.112455 -0.344542 8.970049 56.093020 20.355846 22.553179
2.634082 -0.203375 -0.059816 8.783422 46.418653 6.317331 14.557329
2.642306 -0.169878 -0.028712 8.678146 34.577471 -5.401776 6.286813
2.649929 -0.090921 0.047853 8.453236 24.292734 -13.794366 -0.579852
2.658148 0.299081 -0.358898 8.304892 15.991699 -16.205329 -4.547258
2.665796 0.758470 -0.394787 8.070412 13.245033 -12.329478 -5.218665
2.673945 0.933134 -0.634053 7.953172 13.733329 -4.272591 -2.594073
2.682964 0.832643 -0.478530 7.867037 15.076144 3.509629 0.518815
2.691152 0.555095 -0.289511 7.938816 16.479995 8.148442 1.770074
2.698770 0.267977 -0.193805 8.103909 15.228736 8.697775 1.800592
2.706959 0.102884 -0.038282 8.056056 11.474960 6.347850 0.244148
2.714593 0.031104 0.004785 8.036915 8.301035 3.875851 -1.709037
2.722194 -0.150737 0.105277 8.065627 5.127110 1.709037 -5.035554
2.730489 -0.320615 0.258406 8.103909 1.709037 0.183111 -7.965331
2.738083 -0.270370 0.303867 8.295322 -1.556444 0.335704 -9.033479
2.746266 -0.021534 -0.117240 8.312070 -2.075259 4.211554 -6.622517
2.753868 -0.043068 -0.366076 8.216364 2.014222 10.254219 -2.349925
2.761500 -0.263192 -0.423499 8.209186 7.660146 14.954070 1.464888
2.769699 -0.617304 -0.222517 8.402991 13.397626 17.761773 5.066073
2.777341 -0.992950 0.165093 8.570476 16.235847 15.381329 8.148442
2.785545 -1.122153 0.569451 8.716428 16.052736 8.026368 10.406812
2.793171 -1.174792 0.791968 8.620722 14.862514 -1.373333 12.665181
2.800810 -1.038411 0.768041 8.469985 13.702811 -9.399701 14.709922
2.808955 -0.713010 0.602948 8.352745 12.634663 -14.831996 17.944884
2.817241 -0.535954 0.349327 8.335997 11.658071 -16.968291 21.668142
2.825021 -0.251228 0.181841 8.202008 11.230811 -16.113773 24.689474
2.833403 0.239265 0.136381 8.115873 10.284738 -12.207404 26.551103
2.841117 0.535954 0.267977 8.103909 9.552293 -5.218665 26.459548
2.849331 0.631660 0.181841 8.178082 9.460738 2.533036 24.048585
2.856948 0.351720 0.122025 8.068020 10.040590 7.934812 20.844142
2.865170 0.119633 0.224909 8.041700 10.650960 8.972442 17.761773
2.872809 -0.260799 0.110062 8.010596 9.826960 6.866665 14.862514
2.880426 -0.418714 0.145952 8.005811 8.789331 3.204443 12.298959
2.888611 -0.423499 0.258406 7.945994 7.324442 -3.570666 11.810663
2.896238 -0.193805 0.227302 8.084768 5.310221 -8.056887 12.421033
2.904375 -0.035890 -0.002393 7.972314 3.295999 -9.735405 12.787255
2.913371 0.392395 0.057424 7.874215 2.380444 -6.866665 11.291849
2.922132 0.624482 0.425892 7.862252 2.227851 -1.678518 9.918516
2.931012 0.490493 0.456996 7.905319 1.648000 2.502518 9.277627
2.939515 0.253621 0.392395 7.843110 0.915555 4.058962 9.094516
2.948510 0.055031 0.129203 7.807221 0.854518 4.516739 9.521775
2.957237 0.033497 0.236872 7.828755 1.586962 4.272591 10.437330
2.966161 0.124418 0.172271 7.888571 2.105777 3.662221 11.780145
2.974899 0.071780 0.215339 7.910105 1.617481 3.631703 12.451552
2.983828 0.157915 0.081350 7.996240 0.061037 5.340739 12.787255
2.992585 0.265584 0.112455 7.972314 -2.624592 8.911405 11.841182
3.000821 0.251228 0.174664 8.204401 -5.737480 13.000885 10.956145
3.009179 -0.014356 0.174664 8.295322 -10.284738 15.655995 9.002960
3.016899 -0.232087 0.425892 8.608759 -14.831996 14.313181 6.653035
3.025250 -0.478530 0.509635 8.781030 -19.501328 9.796442 4.394665
3.034769 -0.669942 0.358898 8.821705 -23.255104 1.861629 1.129185
3.043874 -0.543132 0.265584 8.754711 -22.644734 -3.631703 -1.678518
